Test name, Low Limit, High Limit
1.01 Test Power Supply Voltage on TP24,	4.9,	5.1
1.02 Overvoltage test,	-0.1,	0.1
1.03 Post Overvoltage test,	5.4,	5.6
2.01 Test Power Supply Voltage on TP24,	4.9,	5.1
2.02 Reverse Polarity Test,	3,	3.6
3.0.1 Test of Power Supply Voltage	4.9	5.1
3.0.2 Test of Power Supply Current	0.01	1
3.01 SPI Programing,	X,	X
3.02 INC A Rise Time,	0,	5.8
3.03 INC A Fall Time,	0,	3.8
3.04 INC A High Value,	4,	6
3.05 INC A Low Value,	0,	2
3.06 INC B Rise Time,	0,	5.8
3.07 INC B Fall Time,	0,	3.8
3.08 INC B High Value,	4,	6
3.09 INC B Low Value,	0,	2
3.10 INC PWM Rise Time,	0,	950
3.11 INC PWM Fall Time,	0,	650
3.12 INC PWM High Value,	4,	6
3.13 INC PWM Low Value,	0,	2
