Test name,Low Limit,High Limit,OffsetDUT1,OffsetDUT2
1.01.01 Test Power Supply Voltage on TP24,4.9,5.1,0,0
1.01.02 Test of Power Supply Current,0.005,0.035,0,0
1.02 Overvoltage test,-0.1,0.1,0,0
1.03 Post Overvoltage test,5.4,5.6,0,0
2.01 Test Power Supply Voltage on TP24,4.9,5.1,0,0
2.02 Reverse Polarity Test,3,3.6,0,0
3.00.01 Test of Power Supply Voltage,4.9,5.1,0,0
3.00.02 Test of Power Supply Current,0.01,0.035,0,0
3.01 SPI Programing,X,X,X,X
3.02 INC A Rise Time,0,5.2,2.01,2.061
3.03 INC A Fall Time,0,2.3,0.78,0.804
3.04 INC A High Value,4,5.5,0,0
3.05 INC A Low Value,0,2,0,0
3.06 INC B Rise Time,0,5.2,1.9721,1.9867
3.07 INC B Fall Time,0,2.3,0.724,0.748
3.08 INC B High Value,4,5.5,0,0
3.09 INC B Low Value,0,2,0,0
3.10 INC PWM Rise Time,0,850,1219,1140
3.11 INC PWM Fall Time,0,350,518,492.18
3.12 INC PWM High Value,4,5.5,0,0
3.13 INC PWM Low Value,0,2,0,0
