Project,Variant,Operating Mode,Fixture,Serial Number,Date,Time,Test Names,Lower limits values,Measurement values,Upper,Unit,Test Status,Station status,Overall status
NGPMH,NGPMH,Auto,101,518019801KT-2025043000261-01,1/5/2026,6:31:28 PM,0.01 Read Serial number,0,0,1,Boolean,Passed,Passed,Passed
NGPMH,NGPMH,Auto,201,518019801KT-2025043000261-01,1/5/2026,6:31:59 PM,1.01.01 Test Power Supply voltage,4.9,4.9636,5.1,V,Passed,Passed,
NGPMH,NGPMH,Auto,201,518019801KT-2025043000261-01,1/5/2026,6:31:59 PM,1.01.02 Test of Power Supply Current,0.005,0.0208,0.035,A,Passed,,
NGPMH,NGPMH,Auto,201,518019801KT-2025043000261-01,1/5/2026,6:31:59 PM,1.2 Read overvoltage voltage on T24,-0.1,0.0412,0.1,V,Passed,,
NGPMH,NGPMH,Auto,201,518019801KT-2025043000261-01,1/5/2026,6:31:59 PM,1.2 Read voltage on T24 after overvoltage,5.4,5.4637,5.6,V,Passed,,
NGPMH,NGPMH,Auto,201,518019801KT-2025043000261-01,1/5/2026,6:31:59 PM,2.1 Test Power Supply voltage,4.9,5.0573,5.1,V,Passed,,
NGPMH,NGPMH,Auto,201,518019801KT-2025043000261-01,1/5/2026,6:31:59 PM,2.2 Test Voltage on T25,3,3.4548,3.6,V,Passed,,
NGPMH,NGPMH,Auto,301,518019801KT-2025043000261-01,1/5/2026,6:32:07 PM,3.0.01 Test of Power Supply Voltage,4.9,4.999,5.1,V,Passed,Passed,
NGPMH,NGPMH,Auto,301,518019801KT-2025043000261-01,1/5/2026,6:32:07 PM,3.0.02 Test of Power Supply Current,0.01,0.0158,0.035,A,Passed,,
NGPMH,NGPMH,Auto,301,518019801KT-2025043000261-01,1/5/2026,6:32:07 PM,Read ZPOSM,0,0,0,value,Passed,,
NGPMH,NGPMH,Auto,301,518019801KT-2025043000261-01,1/5/2026,6:32:07 PM,Read ZPOSL,0,0,0,value,Passed,,
NGPMH,NGPMH,Auto,301,518019801KT-2025043000261-01,1/5/2026,6:32:07 PM,Read ZPOSM,85,85,85,value,Passed,,
NGPMH,NGPMH,Auto,301,518019801KT-2025043000261-01,1/5/2026,6:32:07 PM,Read ZPOSM,85,85,85,value,Passed,,
NGPMH,NGPMH,Auto,301,518019801KT-2025043000261-01,1/5/2026,6:32:07 PM,Read ZPOSL,170,170,170,value,Passed,,
NGPMH,NGPMH,Auto,301,518019801KT-2025043000261-01,1/5/2026,6:32:07 PM,3.02 INC A Rise Time,0,4.749695809957,5.2,uS,Passed,,
NGPMH,NGPMH,Auto,301,518019801KT-2025043000261-01,1/5/2026,6:32:07 PM,3.03 INC A Fall Time,0,1.959953153489,2.3,uS,Passed,,
NGPMH,NGPMH,Auto,301,518019801KT-2025043000261-01,1/5/2026,6:32:07 PM,3.04 INC A High Value,0,4.972671498764,6,V,Passed,,
NGPMH,NGPMH,Auto,301,518019801KT-2025043000261-01,1/5/2026,6:32:07 PM,3.05 INC A Low Value,0,0.03611027557688,2,V,Passed,,
NGPMH,NGPMH,Auto,301,518019801KT-2025043000261-01,1/5/2026,6:32:07 PM,3.06 INC B Rise Time,0,4.929119052189,5.2,uS,Passed,,
NGPMH,NGPMH,Auto,301,518019801KT-2025043000261-01,1/5/2026,6:32:07 PM,3.07 INC B Fall Time,0,2.042561939058,2.3,uS,Passed,,
NGPMH,NGPMH,Auto,301,518019801KT-2025043000261-01,1/5/2026,6:32:07 PM,3.08 INC B High Value,4,4.965127816195,6,V,Passed,,
NGPMH,NGPMH,Auto,301,518019801KT-2025043000261-01,1/5/2026,6:32:07 PM,3.09 INC B Low Value,0,0.05130962849332,2,V,Passed,,
NGPMH,NGPMH,Auto,301,518019801KT-2025043000261-01,1/5/2026,6:32:07 PM,3.10 PWM Rise Time,0,705.3008744047,850,nS,Passed,,
NGPMH,NGPMH,Auto,301,518019801KT-2025043000261-01,1/5/2026,6:32:07 PM,3.11 PWM Fall Time,0,245.2208492835,350,nS,Passed,,
NGPMH,NGPMH,Auto,301,518019801KT-2025043000261-01,1/5/2026,6:32:07 PM,3.12 PWM High Value,4,4.964543206674,6,V,Passed,,
NGPMH,NGPMH,Auto,301,518019801KT-2025043000261-01,1/5/2026,6:32:07 PM,3.13 PWM Low Value,0,0.0493353070515,2,V,Passed,,
Project,Variant,Operating Mode,Fixture,Serial Number,Date,Time,Test Names,Lower limits values,Measurement values,Upper,Unit,Test Status,Station status,Overall status
NGPMH,NGPMH,Auto,101,518019801KT-2025043000261-01,1/5/2026,6:44:41 PM,0.01 Read Serial number,0,0,1,Boolean,Passed,Passed,
NGPMH,NGPMH,Auto,201,518019801KT-2025043000261-01,1/5/2026,6:45:00 PM,1.01.01 Test Power Supply voltage,4.9,4.9623,5.1,V,Passed,Passed,
NGPMH,NGPMH,Auto,201,518019801KT-2025043000261-01,1/5/2026,6:45:00 PM,1.01.02 Test of Power Supply Current,0.005,0.0206,0.035,A,Passed,,
NGPMH,NGPMH,Auto,201,518019801KT-2025043000261-01,1/5/2026,6:45:00 PM,1.2 Read overvoltage voltage on T24,-0.1,0.0214,0.1,V,Passed,,
NGPMH,NGPMH,Auto,201,518019801KT-2025043000261-01,1/5/2026,6:45:00 PM,1.2 Read voltage on T24 after overvoltage,5.4,5.4009,5.6,V,Passed,,
NGPMH,NGPMH,Auto,201,518019801KT-2025043000261-01,1/5/2026,6:45:00 PM,2.1 Test Power Supply voltage,4.9,4.9662,5.1,V,Passed,,
NGPMH,NGPMH,Auto,201,518019801KT-2025043000261-01,1/5/2026,6:45:00 PM,2.2 Test Voltage on T25,3,3.4552,3.6,V,Passed,,
NGPMH,NGPMH,Auto,301,518019801KT-2025043000261-01,1/5/2026,6:45:08 PM,3.0.01 Test of Power Supply Voltage,4.9,4.999,5.1,V,Passed,Passed,
NGPMH,NGPMH,Auto,301,518019801KT-2025043000261-01,1/5/2026,6:45:08 PM,3.0.02 Test of Power Supply Current,0.01,0.0121,0.035,A,Passed,,
NGPMH,NGPMH,Auto,301,518019801KT-2025043000261-01,1/5/2026,6:45:08 PM,Read ZPOSM,0,0,0,value,Passed,,
NGPMH,NGPMH,Auto,301,518019801KT-2025043000261-01,1/5/2026,6:45:08 PM,Read ZPOSL,0,0,0,value,Passed,,
NGPMH,NGPMH,Auto,301,518019801KT-2025043000261-01,1/5/2026,6:45:08 PM,Read ZPOSM,85,85,85,value,Passed,,
NGPMH,NGPMH,Auto,301,518019801KT-2025043000261-01,1/5/2026,6:45:08 PM,Read ZPOSM,85,85,85,value,Passed,,
NGPMH,NGPMH,Auto,301,518019801KT-2025043000261-01,1/5/2026,6:45:08 PM,Read ZPOSL,170,170,170,value,Passed,,
NGPMH,NGPMH,Auto,301,518019801KT-2025043000261-01,1/5/2026,6:45:08 PM,3.02 INC A Rise Time,0,4.769573808633,5.2,uS,Passed,,
NGPMH,NGPMH,Auto,301,518019801KT-2025043000261-01,1/5/2026,6:45:08 PM,3.03 INC A Fall Time,0,1.958344007586,2.3,uS,Passed,,
NGPMH,NGPMH,Auto,301,518019801KT-2025043000261-01,1/5/2026,6:45:08 PM,3.04 INC A High Value,0,4.968947333249,6,V,Passed,,
NGPMH,NGPMH,Auto,301,518019801KT-2025043000261-01,1/5/2026,6:45:08 PM,3.05 INC A Low Value,0,0.0360883256819,2,V,Passed,,
NGPMH,NGPMH,Auto,301,518019801KT-2025043000261-01,1/5/2026,6:45:08 PM,3.06 INC B Rise Time,0,4.960460751545,5.2,uS,Passed,,
NGPMH,NGPMH,Auto,301,518019801KT-2025043000261-01,1/5/2026,6:45:08 PM,3.07 INC B Fall Time,0,2.045609148317,2.3,uS,Passed,,
NGPMH,NGPMH,Auto,301,518019801KT-2025043000261-01,1/5/2026,6:45:08 PM,3.08 INC B High Value,4,4.962318355534,6,V,Passed,,
NGPMH,NGPMH,Auto,301,518019801KT-2025043000261-01,1/5/2026,6:45:08 PM,3.09 INC B Low Value,0,0.04850020741738,2,V,Passed,,
NGPMH,NGPMH,Auto,301,518019801KT-2025043000261-01,1/5/2026,6:45:08 PM,3.10 PWM Rise Time,0,734.1272272609,850,nS,Passed,,
NGPMH,NGPMH,Auto,301,518019801KT-2025043000261-01,1/5/2026,6:45:08 PM,3.11 PWM Fall Time,0,245.3276050011,350,nS,Passed,,
NGPMH,NGPMH,Auto,301,518019801KT-2025043000261-01,1/5/2026,6:45:08 PM,3.12 PWM High Value,4,4.980090191581,6,V,Passed,,
NGPMH,NGPMH,Auto,301,518019801KT-2025043000261-01,1/5/2026,6:45:08 PM,3.13 PWM Low Value,0,0.04898662261375,2,V,Passed,,
