Project,Variant,Operating Mode,Fixture,Serial Number,Date,Time,Test Names,Lower limits values,Measurement values,Upper,Unit,Test Status,Station status,Overall status
NGPMH,NGPMH,Auto,101,518019808P1_2025052609544_01,1/5/2026,5:42:58 PM,0.01 Read Serial number,0,0,1,Boolean,Passed,Passed,Passed
NGPMH,NGPMH,Auto,201,518019808P1_2025052609544_01,1/5/2026,5:51:40 PM,1.01.01 Test Power Supply voltage,4.9,4.9641,5.1,V,Passed,Passed,
NGPMH,NGPMH,Auto,201,518019808P1_2025052609544_01,1/5/2026,5:51:40 PM,1.01.02 Test of Power Supply Current,0.005,0.0209,0.035,A,Passed,,
NGPMH,NGPMH,Auto,201,518019808P1_2025052609544_01,1/5/2026,5:51:40 PM,1.2 Read overvoltage voltage on T24,-0.1,0.0479,0.1,V,Passed,,
NGPMH,NGPMH,Auto,201,518019808P1_2025052609544_01,1/5/2026,5:51:40 PM,1.2 Read voltage on T24 after overvoltage,5.4,5.4638,5.6,V,Passed,,
NGPMH,NGPMH,Auto,201,518019808P1_2025052609544_01,1/5/2026,5:51:40 PM,2.1 Test Power Supply voltage,4.9,4.966,5.1,V,Passed,,
NGPMH,NGPMH,Auto,201,518019808P1_2025052609544_01,1/5/2026,5:51:40 PM,2.2 Test Voltage on T25,3,3.3866,3.6,V,Passed,,
NGPMH,NGPMH,Auto,301,518019808P1_2025052609544_01,1/5/2026,5:57:39 PM,3.0.01 Test of Power Supply Voltage,4.9,4.999,5.1,V,Passed,Passed,
NGPMH,NGPMH,Auto,301,518019808P1_2025052609544_01,1/5/2026,5:57:39 PM,3.0.02 Test of Power Supply Current,0.01,0.016,0.035,A,Passed,,
NGPMH,NGPMH,Auto,301,518019808P1_2025052609544_01,1/5/2026,5:57:39 PM,Read ZPOSM,0,0,0,value,Passed,,
NGPMH,NGPMH,Auto,301,518019808P1_2025052609544_01,1/5/2026,5:57:39 PM,Read ZPOSL,0,0,0,value,Passed,,
NGPMH,NGPMH,Auto,301,518019808P1_2025052609544_01,1/5/2026,5:57:39 PM,Read ZPOSM,85,85,85,value,Passed,,
NGPMH,NGPMH,Auto,301,518019808P1_2025052609544_01,1/5/2026,5:57:39 PM,Read ZPOSM,85,85,85,value,Passed,,
NGPMH,NGPMH,Auto,301,518019808P1_2025052609544_01,1/5/2026,5:57:39 PM,Read ZPOSL,170,170,170,value,Passed,,
NGPMH,NGPMH,Auto,301,518019808P1_2025052609544_01,1/5/2026,5:57:39 PM,3.02 INC A Rise Time,0,4.872753398166,5.2,uS,Passed,,
NGPMH,NGPMH,Auto,301,518019808P1_2025052609544_01,1/5/2026,5:57:39 PM,3.03 INC A Fall Time,0,1.978676961825,2.3,uS,Passed,,
NGPMH,NGPMH,Auto,301,518019808P1_2025052609544_01,1/5/2026,5:57:39 PM,3.04 INC A High Value,0,4.969073543404,6,V,Passed,,
NGPMH,NGPMH,Auto,301,518019808P1_2025052609544_01,1/5/2026,5:57:39 PM,3.05 INC A Low Value,0,0.05750198193194,2,V,Passed,,
NGPMH,NGPMH,Auto,301,518019808P1_2025052609544_01,1/5/2026,5:57:39 PM,3.06 INC B Rise Time,0,4.941372719037,5.2,uS,Passed,,
NGPMH,NGPMH,Auto,301,518019808P1_2025052609544_01,1/5/2026,5:57:39 PM,3.07 INC B Fall Time,0,2.007357300564,2.3,uS,Passed,,
NGPMH,NGPMH,Auto,301,518019808P1_2025052609544_01,1/5/2026,5:57:39 PM,3.08 INC B High Value,4,4.968632934435,6,V,Passed,,
NGPMH,NGPMH,Auto,301,518019808P1_2025052609544_01,1/5/2026,5:57:39 PM,3.09 INC B Low Value,0,0.06684618975894,2,V,Passed,,
NGPMH,NGPMH,Auto,301,518019808P1_2025052609544_01,1/5/2026,5:57:39 PM,3.10 PWM Rise Time,0,747.7942369007,850,nS,Passed,,
NGPMH,NGPMH,Auto,301,518019808P1_2025052609544_01,1/5/2026,5:57:39 PM,3.11 PWM Fall Time,0,256.4384341582,350,nS,Passed,,
NGPMH,NGPMH,Auto,301,518019808P1_2025052609544_01,1/5/2026,5:57:39 PM,3.12 PWM High Value,4,4.978296153671,6,V,Passed,,
NGPMH,NGPMH,Auto,301,518019808P1_2025052609544_01,1/5/2026,5:57:39 PM,3.13 PWM Low Value,0,0.04088813724076,2,V,Passed,,
NGPMH,NGPMH,Auto,401,518019808P1_2025052609544_01,1/5/2026,6:06:09 PM,4.00. Device packed ,0,0,1,Boolean,Passed,Passed,
Project,Variant,Operating Mode,Fixture,Serial Number,Date,Time,Test Names,Lower limits values,Measurement values,Upper,Unit,Test Status,Station status,Overall status
NGPMH,NGPMH,Auto,101,518019808P1_2025052609544_01,1/5/2026,7:16:15 PM,0.01 Read Serial number,0,0,1,Boolean,Passed,Passed,
NGPMH,NGPMH,Auto,201,518019808P1_2025052609544_01,1/5/2026,7:16:34 PM,1.01.01 Test Power Supply voltage,4.9,4.9665,5.1,V,Passed,Passed,
NGPMH,NGPMH,Auto,201,518019808P1_2025052609544_01,1/5/2026,7:16:34 PM,1.01.02 Test of Power Supply Current,0.005,0.021,0.035,A,Passed,,
NGPMH,NGPMH,Auto,201,518019808P1_2025052609544_01,1/5/2026,7:16:34 PM,1.2 Read overvoltage voltage on T24,-0.1,0.0374,0.1,V,Passed,,
NGPMH,NGPMH,Auto,201,518019808P1_2025052609544_01,1/5/2026,7:16:34 PM,1.2 Read voltage on T24 after overvoltage,5.4,5.4642,5.6,V,Passed,,
NGPMH,NGPMH,Auto,201,518019808P1_2025052609544_01,1/5/2026,7:16:34 PM,2.1 Test Power Supply voltage,4.9,4.9646,5.1,V,Passed,,
